,freq,age,statinfo,geo\TIME_PERIOD,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,A,TOTAL,GINI_HND,AL,,,,36.8,35.4,34.3,33.2,33.0,,,
1,A,TOTAL,GINI_HND,AT,27.6,27.2,27.2,27.9,26.8,27.5,27.0,26.7,27.8,28.1,28.4
2,A,TOTAL,GINI_HND,BE,25.9,26.2,26.3,26.1,25.7,25.1,25.4,24.1,24.9,24.2,24.7
3,A,TOTAL,GINI_HND,BG,35.4,37.0,37.7,40.2,39.6,40.8,40.0,39.7,38.4,37.2,38.4
4,A,TOTAL,GINI_HND,CH,29.5,29.6,29.4,30.1,29.7,30.6,31.2,31.4,31.1,31.5,
5,A,TOTAL,GINI_HND,CY,34.8,33.6,32.1,30.8,29.1,31.1,29.3,29.4,29.4,29.6,30.1
6,A,TOTAL,GINI_HND,CZ,25.1,25.0,25.1,24.5,24.0,24.0,24.2,24.8,24.8,24.4,23.7
7,A,TOTAL,GINI_HND,DE,30.7,30.1,29.5,29.1,31.1,29.7,30.5,31.2,29.0,29.4,29.5
8,A,TOTAL,GINI_HND,DK,27.7,27.4,27.7,27.6,27.8,27.5,27.3,27.0,27.7,28.2,28.6
9,A,TOTAL,GINI_HND,EA20,31.0,30.7,30.7,30.4,30.6,30.2,30.2,30.6,29.9,29.8,29.9
10,A,TOTAL,GINI_HND,EE,35.6,34.8,32.7,31.6,30.6,30.5,30.5,30.6,31.9,31.8,30.8
11,A,TOTAL,GINI_HND,EL,34.5,34.2,34.3,33.4,32.3,31.0,31.4,32.4,31.4,31.8,31.8
12,A,TOTAL,GINI_HND,ES,34.7,34.6,34.5,34.1,33.2,33.0,32.1,33.0,32.0,31.5,31.2
13,A,TOTAL,GINI_HND,EU27_2020,30.9,30.8,30.6,30.3,30.4,30.2,30.0,30.2,29.6,29.6,29.3
14,A,TOTAL,GINI_HND,FI,25.6,25.2,25.4,25.3,25.9,26.2,26.5,25.7,26.6,26.6,26.1
15,A,TOTAL,GINI_HND,FR,29.2,29.2,29.3,28.8,28.5,29.2,29.2,29.3,29.8,29.7,30.0
16,A,TOTAL,GINI_HND,HR,30.2,30.4,29.8,29.9,29.7,29.2,28.3,29.2,28.5,29.7,29.8
17,A,TOTAL,GINI_HND,HU,28.6,28.2,28.2,28.1,28.7,28.0,28.0,27.6,27.4,29.0,27.6
18,A,TOTAL,GINI_HND,IE,31.0,29.7,29.6,30.6,28.9,28.0,27.6,26.6,26.9,27.4,26.2
19,A,TOTAL,GINI_HND,IS,22.7,24.7,24.1,25.2,23.2,23.7,24.0,,,,
20,A,TOTAL,GINI_HND,IT,32.4,32.4,33.1,32.7,33.4,32.8,32.5,32.9,32.7,31.5,32.2
21,A,TOTAL,GINI_HND,LT,35.0,37.9,37.0,37.6,36.9,35.4,35.1,35.4,36.2,35.7,35.3
22,A,TOTAL,GINI_HND,LU,28.7,28.5,29.6,29.2,31.3,32.3,31.2,29.6,29.1,30.6,30.1
23,A,TOTAL,GINI_HND,LV,35.5,35.4,34.5,34.5,35.6,35.2,34.5,35.7,34.3,34.0,34.2
24,A,TOTAL,GINI_HND,ME,,36.5,36.5,36.7,34.7,34.1,32.9,32.5,31.5,,
25,A,TOTAL,GINI_HND,MK,35.2,33.7,33.6,32.4,31.9,30.7,31.4,30.3,29.8,,
26,A,TOTAL,GINI_HND,MT,27.7,28.1,28.6,28.2,28.7,28.0,30.3,31.2,31.1,33.0,30.8
27,A,TOTAL,GINI_HND,NL,26.2,26.7,26.9,27.1,27.4,26.8,28.2,26.4,26.3,26.5,25.9
28,A,TOTAL,GINI_HND,NO,23.5,23.9,25.0,26.1,24.8,25.4,25.3,25.9,27.5,24.7,24.4
29,A,TOTAL,GINI_HND,PL,30.8,30.6,29.8,29.2,27.8,28.5,27.2,26.8,26.3,27.0,26.0
30,A,TOTAL,GINI_HND,PT,34.5,34.0,33.9,33.5,32.1,31.9,31.2,33.0,32.0,33.7,31.9
31,A,TOTAL,GINI_HND,RO,35.0,37.4,34.7,33.1,35.1,34.8,33.8,34.3,32.0,31.0,28.0
32,A,TOTAL,GINI_HND,RS,38.3,40.0,39.8,37.8,35.6,33.6,33.8,33.3,32.6,31.7,
33,A,TOTAL,GINI_HND,SE,26.9,26.7,27.6,28.0,27.0,27.6,26.9,26.8,27.6,29.5,27.6
34,A,TOTAL,GINI_HND,SI,25.0,24.5,24.4,23.7,23.4,23.9,23.5,23.0,23.1,23.4,23.8
35,A,TOTAL,GINI_HND,SK,26.1,23.7,24.3,23.2,20.9,22.8,20.9,21.8,21.2,21.6,21.7
36,A,TOTAL,GINI_HND,TR,41.2,41.9,42.6,43.0,43.0,41.7,43.4,42.5,45.3,44.2,44.8
37,A,TOTAL,GINI_HND,UK,31.6,32.4,31.5,33.1,33.5,,,,,,
38,A,TOTAL,GINI_HND,XK,,,,,46.6,,,,,,
39,A,Y_LT18,GINI_HND,AL,,,,37.0,36.2,34.7,33.8,33.6,,,
40,A,Y_LT18,GINI_HND,AT,24.7,25.6,25.9,27.3,25.5,24.4,25.5,26.6,27.5,27.8,27.7
41,A,Y_LT18,GINI_HND,BE,25.4,25.1,25.0,25.5,24.8,23.2,23.2,22.9,22.7,21.5,22.0
42,A,Y_LT18,GINI_HND,BG,38.4,39.2,40.2,42.5,41.8,43.4,41.9,41.4,41.0,38.4,39.6
43,A,Y_LT18,GINI_HND,CH,28.2,29.1,28.8,29.5,29.0,30.7,30.6,30.5,31.1,31.9,
44,A,Y_LT18,GINI_HND,CY,28.4,30.7,29.9,28.6,27.9,31.3,29.2,27.9,30.7,27.8,29.9
45,A,Y_LT18,GINI_HND,CZ,27.4,27.1,26.8,25.3,23.6,23.0,23.6,24.5,24.8,24.7,24.1
46,A,Y_LT18,GINI_HND,DE,28.6,27.4,26.8,26.9,31.2,30.4,28.9,30.4,27.4,28.2,28.1
47,A,Y_LT18,GINI_HND,DK,25.1,25.8,26.9,27.0,24.0,23.1,25.3,24.9,24.9,23.5,21.5
48,A,Y_LT18,GINI_HND,EA20,30.0,30.0,29.6,29.7,30.1,29.5,29.7,30.3,29.7,29.3,29.3
49,A,Y_LT18,GINI_HND,EE,34.6,34.4,32.0,30.1,28.8,29.4,28.8,29.3,28.6,29.5,28.5
50,A,Y_LT18,GINI_HND,EL,37.7,36.8,36.4,34.5,33.0,31.2,32.1,33.3,32.0,32.1,31.6
51,A,Y_LT18,GINI_HND,ES,36.6,37.2,37.0,36.6,34.5,34.9,33.6,35.2,34.0,34.0,33.4
52,A,Y_LT18,GINI_HND,EU27_2020,30.4,30.4,30.1,29.9,30.0,29.6,29.5,30.0,29.3,29.2,28.7
53,A,Y_LT18,GINI_HND,FI,23.5,22.2,22.7,22.8,23.3,24.1,24.1,23.2,25.3,24.2,24.8
54,A,Y_LT18,GINI_HND,FR,26.5,27.2,26.8,27.7,27.4,26.5,29.4,29.6,31.2,30.5,30.4
55,A,Y_LT18,GINI_HND,HR,29.1,28.9,28.9,29.8,29.5,28.7,27.9,29.3,28.2,28.8,29.6
56,A,Y_LT18,GINI_HND,HU,29.1,29.0,28.8,27.5,29.5,28.6,27.9,27.8,25.3,30.9,25.1
57,A,Y_LT18,GINI_HND,IE,29.7,28.8,28.6,29.3,26.0,27.0,25.7,24.1,25.0,25.6,23.1
58,A,Y_LT18,GINI_HND,IS,20.8,22.8,21.5,23.3,20.7,23.1,22.1,,,,
59,A,Y_LT18,GINI_HND,IT,33.0,32.9,33.0,32.8,32.8,32.3,31.9,32.4,32.5,30.1,31.1
60,A,Y_LT18,GINI_HND,LT,36.2,41.4,37.2,37.1,37.7,35.0,35.2,34.0,35.0,32.5,33.7
61,A,Y_LT18,GINI_HND,LU,29.9,29.5,28.7,28.6,29.7,33.2,30.9,29.9,30.0,29.1,30.4
62,A,Y_LT18,GINI_HND,LV,37.4,36.6,33.1,33.2,33.8,32.0,32.7,32.3,30.8,31.0,31.2
63,A,Y_LT18,GINI_HND,ME,,38.8,38.1,39.9,35.8,35.3,34.5,33.5,33.1,,
64,A,Y_LT18,GINI_HND,MK,36.4,34.8,34.6,34.5,32.4,31.0,32.4,31.6,31.7,,
65,A,Y_LT18,GINI_HND,MT,28.6,28.8,28.5,28.0,29.7,27.9,31.8,32.8,32.6,33.7,31.8
66,A,Y_LT18,GINI_HND,NL,24.3,26.0,26.1,26.1,26.4,25.6,28.4,26.6,24.7,25.5,24.8
67,A,Y_LT18,GINI_HND,NO,21.5,21.2,22.1,22.4,22.1,22.5,22.3,23.4,25.3,21.7,22.2
68,A,Y_LT18,GINI_HND,PL,32.1,32.0,31.3,28.9,26.6,27.8,26.4,26.2,25.8,26.2,25.0
69,A,Y_LT18,GINI_HND,PT,34.4,34.0,33.0,32.2,31.3,31.3,31.4,33.2,30.5,32.7,29.9
70,A,Y_LT18,GINI_HND,RO,37.6,38.8,38.9,36.8,38.8,38.0,36.1,37.1,33.5,34.7,30.3
71,A,Y_LT18,GINI_HND,RS,38.7,42.2,40.0,39.4,37.6,33.3,34.1,31.7,30.9,31.1,
72,A,Y_LT18,GINI_HND,SE,25.5,24.7,26.2,27.9,25.0,25.6,24.6,25.3,25.6,27.0,25.6
73,A,Y_LT18,GINI_HND,SI,24.5,23.9,23.6,22.7,22.1,22.9,22.1,21.1,20.6,20.7,21.5
74,A,Y_LT18,GINI_HND,SK,27.8,25.5,25.2,25.1,22.1,23.7,20.8,22.3,22.8,23.8,23.6
75,A,Y_LT18,GINI_HND,TR,42.4,43.0,43.4,44.4,44.5,42.9,44.7,44.3,46.4,46.2,46.4
76,A,Y_LT18,GINI_HND,UK,30.2,30.5,29.5,32.6,34.0,,,,,,
77,A,Y_LT18,GINI_HND,XK,,,,,46.8,,,,,,
